Estación:       TEZIUTLAN,  PUE
Operada por:    SMN EMAS
Longitud:       97°23'26"  Latitud: 19°53'16"  Altitud: 2015

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
26/01/2018 17:00       354       344      6.34     14.00      13.4        98     852.1       0.0     201.7
26/01/2018 18:00       342       338      7.88     15.30      12.5       100     851.3       0.0     123.2
26/01/2018 19:00        10       357      3.87     13.10      12.3       100     850.7       0.0     126.2
26/01/2018 20:00        10       359      4.38     13.60      12.8       100     849.7       0.0     151.2
26/01/2018 21:00        18       356      4.89     11.90      12.2       100     849.2       0.2      75.7
26/01/2018 22:00         4       351      4.06      7.50      12.2       100     849.1       0.0      42.0
26/01/2018 23:00        34        56      3.25      8.10      12.1       100     849.3       0.2      13.8
27/01/2018 00:00        26        50      1.70      7.90      11.9       100     849.7       0.8       1.2
27/01/2018 01:00        42       360      2.41      5.40      11.9       100     850.2       0.4       0.0
27/01/2018 02:00       343       348      1.79      9.00      12.0       100     850.5       0.0       0.0
27/01/2018 03:00       173       225      2.59      5.10      11.9       100     850.6       0.0       0.0
27/01/2018 04:00       185       245      1.60      5.10      11.7       100     850.5       0.0       0.0
27/01/2018 05:00       252       222      0.76      6.50      11.6       100     850.4       0.0       0.0
27/01/2018 06:00       157       219      1.26      5.50      11.7       100     850.1       0.0       0.0
27/01/2018 07:00       352        61      1.10      5.90      11.3       100     849.9       0.0       0.0
27/01/2018 08:00       194       165      0.50      6.90      10.5       100     849.4       0.0       0.0
27/01/2018 09:00       340       274      0.87      6.90       9.7       100     848.9       0.0       0.0
27/01/2018 10:00       195       278      0.48      4.00       9.8       100     848.4       0.0       0.0
27/01/2018 11:00       194       218      4.76      8.60      10.2       100     848.4       0.0       0.0
27/01/2018 12:00       202       222      5.78      9.80      10.0       100     848.7       0.2       0.0
27/01/2018 13:00       193       195      4.37     10.20       9.5       100     849.1       0.0      17.5
27/01/2018 14:00       145       222      1.67      6.70      10.2       100     849.6       0.0     167.5
27/01/2018 15:00        57        84      5.08     12.40      14.4        93     849.7       0.0     428.3
27/01/2018 16:00        31        31      8.09     15.90      15.8        86     850.1       0.0     644.3
27/01/2018 17:00        14       357      7.47     17.20      14.6        91     850.1       0.0     293.7
27/01/2018 18:00        26       355      5.18     13.10      13.4        98     849.6       0.0     122.0
27/01/2018 19:00         9       349      4.03     12.40      13.4        97     849.0       0.0      78.3
27/01/2018 20:00        15        64      4.76     10.40      13.3        97     848.2       0.0      66.7
27/01/2018 21:00        16       358      1.82      7.90      13.4        98     847.5       0.0     105.7
27/01/2018 22:00         3        46      3.98      8.70      13.6        97     847.4       0.0      43.7
27/01/2018 23:00        22        41      4.22      8.40      13.2        99     847.9       0.0       9.7
28/01/2018 00:00         0        85      1.22      6.40      12.7       100     848.2       0.0       1.2
28/01/2018 01:00        69        72      1.89      8.00      12.5       100     848.8       0.0       0.0
28/01/2018 02:00       147       213      2.01      6.80      12.2       100     849.3       0.0       0.0
28/01/2018 03:00       147       243      1.56      8.60      12.0       100     849.7       0.0       0.0
28/01/2018 04:00       270       206      1.31      5.50      12.0       100     850.1       0.0       0.0
28/01/2018 05:00       199       360      1.11      5.00      11.6       100     850.2       0.0       0.0
28/01/2018 06:00       358        95      1.13      5.80      11.9       100     850.2       0.0       0.0
