71957 YEV Inuvik Observations at 00Z 22 Jun 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1003.0    103   16.8    9.8     63   7.63    310     11  289.7  311.5  291.0
 1002.0    113   14.6    7.6     63   6.57    310     13  287.6  306.3  288.7
 1000.0    132   14.4    8.4     67   6.96    310     17  287.6  307.3  288.8
  979.6    305   12.9    8.0     72   6.90    310     16  287.7  307.3  288.9
  958.0    493   11.2    7.5     78   6.83    307     17  287.9  307.3  289.0
  944.7    610   12.7    4.6     58   5.67    305     18  290.6  307.1  291.6
  939.0    661   13.4    3.4     51   5.23    314     17  291.8  307.1  292.7
  925.0    787   12.6    4.6     58   5.78    335     16  292.2  309.1  293.2
  911.0    914   11.9    4.4     60   5.77    335     16  292.7  309.6  293.7
  878.4   1219   10.1    3.8     65   5.74    315     15  294.0  310.9  295.0
  869.0   1309    9.6    3.6     66   5.73    307     15  294.3  311.2  295.3
  850.0   1492    8.6    2.6     66   5.46    290     15  295.1  311.3  296.1
  839.0   1600    8.4    1.4     61   5.07    285     15  296.0  311.2  296.9
  815.9   1829    6.7    1.2     68   5.15    275     16  296.6  312.0  297.5
  786.0   2134    4.4    0.9     79   5.24    245     11  297.3  313.0  298.2
  769.0   2314    3.0    0.8     85   5.30    236     11  297.7  313.6  298.6
  757.2   2438    2.0    0.1     88   5.13    230     11  297.9  313.3  298.8
  729.1   2743   -0.6   -1.4     94   4.74    255     12  298.4  312.7  299.2
  723.0   2810   -1.1   -1.8     95   4.66    262     14  298.5  312.6  299.3
  701.8   3048   -2.0   -3.7     88   4.15    285     19  300.0  312.7  300.8
  700.0   3068   -2.1   -3.9     87   4.11    275     18  300.1  312.8  300.9
  649.5   3658   -6.7   -6.8     99   3.57    285     14  301.4  312.5  302.1
  647.0   3689   -6.9   -6.9    100   3.54    286     14  301.5  312.5  302.2
  624.6   3962   -8.8   -9.9     92   2.91    295     11  302.4  311.6  303.0
  607.0   4184  -10.3  -12.3     85   2.46    291     14  303.1  311.0  303.6
  600.5   4267  -11.1  -12.5     90   2.46    290     15  303.1  311.0  303.6
  591.0   4389  -12.3  -12.7     97   2.45    288     16  303.1  311.0  303.6
  584.0   4480  -12.3  -15.0     80   2.05    287     16  304.2  310.8  304.6
  567.0   4706  -13.5  -17.0     75   1.79    283     17  305.4  311.2  305.7
  554.3   4877  -15.2  -16.8     88   1.86    280     18  305.2  311.3  305.6
  554.0   4882  -15.3  -16.8     88   1.86    280     18  305.2  311.3  305.6
  545.0   5005  -15.9  -18.3     82   1.67    272     20  306.0  311.5  306.3
  535.0   5145  -16.7  -24.7     50   0.97    262     22  306.6  309.9  306.8
  532.4   5182  -16.7  -30.7     29   0.56    260     22  307.1  309.1  307.2
  531.0   5201  -16.7  -33.7     22   0.42    260     22  307.3  308.8  307.4
  526.0   5272  -17.1  -35.1     19   0.37    261     22  307.6  309.0  307.7
  500.0   5650  -20.1  -37.1     20   0.32    265     20  308.5  309.6  308.5
  496.0   5709  -20.3  -37.3     20   0.31    266     19  308.9  310.1  309.0
  482.0   5920  -22.3  -32.3     40   0.53    271     18  309.0  310.9  309.1
  476.0   6012  -22.9  -38.9     22   0.28    273     17  309.4  310.4  309.4
  470.6   6096  -23.6  -38.9     23   0.28    275     16  309.6  310.6  309.6
  468.0   6136  -23.9  -38.9     24   0.28    274     16  309.6  310.7  309.7
  454.0   6356  -25.7  -34.7     43   0.45    266     13  310.1  311.7  310.2
  451.2   6401  -26.0  -36.4     37   0.38    265     13  310.3  311.7  310.4
  448.0   6452  -26.3  -38.3     31   0.31    269     14  310.5  311.7  310.6
  438.0   6615  -27.5  -33.5     57   0.52    283     16  311.0  312.9  311.1
  435.0   6664  -27.7  -31.0     73   0.67    287     16  311.4  313.7  311.5
  432.5   6706  -28.0  -32.2     68   0.60    290     17  311.5  313.6  311.6
  430.0   6747  -28.3  -33.3     62   0.54    290     17  311.6  313.6  311.7
  411.0   7069  -31.3  -34.8     71   0.49    287     19  311.8  313.6  311.9
  400.0   7260  -32.7  -42.7     36   0.22    285     20  312.4  313.2  312.4
  396.9   7315  -33.2  -42.0     41   0.24    275     20  312.5  313.4  312.6
  384.0   7546  -35.1  -38.8     69   0.35    286     19  312.9  314.2  313.0
  380.0   7620  -35.5  -40.9     57   0.28    290     19  313.3  314.4  313.4
  374.0   7730  -36.1  -44.1     44   0.20    291     19  314.0  314.8  314.0
  361.0   7975  -38.1  -48.1     34   0.14    293     18  314.5  315.0  314.5
  323.0   8730  -45.3  -49.6     62   0.13    301     15  314.7  315.2  314.7
  317.0   8855  -45.9  -52.9     45   0.09    302     15  315.5  315.9  315.6
  303.5   9144  -48.3  -54.5     48   0.08    305     14  316.2  316.5  316.2
  300.0   9220  -48.9  -54.9     49   0.07    300     14  316.3  316.6  316.3
  289.5   9449  -50.7  -56.3     52   0.06    295     15  316.9  317.2  316.9
  276.2   9754  -53.2  -58.1     55   0.05    315     17  317.7  317.9  317.7
  263.0  10070  -55.7  -60.0     58   0.04    308     18  318.5  318.7  318.5
  250.0  10390  -57.9  -62.5     55   0.03    300     19  319.9  320.0  319.9
  239.2  10668  -59.7  -64.7     52   0.03    305     23  321.2  321.3  321.2
  237.0  10725  -60.1  -65.1     52   0.03    305     20  321.5  321.6  321.5
  231.0  10885  -60.3  -64.8     55   0.03    305     17  323.5  323.6  323.5
  227.8  10973  -58.9  -68.6     27   0.02    305     15  327.0  327.1  327.0
  227.0  10994  -58.5  -69.5     23   0.01    302     15  327.9  327.9  327.9
  223.0  11106  -58.3  -74.3     11   0.01    283     13  329.9  329.9  329.9
  221.0  11163  -56.5  -78.5      5   0.00    274     12  333.5  333.5  333.5
  217.0  11278  -56.5  -75.9      7   0.01    255     10  335.2  335.2  335.2
  215.0  11338  -56.5  -74.5      9   0.01    262     11  336.1  336.1  336.1
  206.9  11582  -54.7  -79.0      3   0.00    290     17  342.6  342.6  342.6
  200.0  11800  -53.1  -83.1      1   0.00    285     13  348.5  348.5  348.5
  197.3  11887  -52.5  -83.1      1   0.00    305     19  350.9  350.9  350.9
  188.3  12192  -50.2  -82.9      1   0.00    320     14  359.2  359.2  359.2
  187.0  12238  -49.9  -82.9      1   0.00    317     14  360.4  360.5  360.4
  181.0  12451  -50.9  -83.9      1   0.00    303     11  362.2  362.2  362.2
  179.8  12497  -50.7  -83.8      1   0.00    300     11  363.2  363.2  363.2
  163.9  13106  -48.6  -82.8      1   0.00    305     12  376.4  376.4  376.4
  156.5  13411  -47.6  -82.3      1   0.00    285     14  383.2  383.2  383.2
  153.0  13559  -47.1  -82.1      1   0.00    277     12  386.5  386.5  386.5
  150.0  13690  -47.5  -82.5      1   0.00    270     11  388.0  388.0  388.0
  149.4  13716  -47.5  -82.5      1   0.00    270     11  388.4  388.4  388.4
  142.7  14021  -48.0  -82.6      1   0.00    290     11  392.7  392.7  392.7
  136.2  14326  -48.5  -82.7      1   0.00    275     13  397.0  397.1  397.0
  134.0  14433  -48.7  -82.7      1   0.00    289     13  398.6  398.6  398.6
  130.1  14630  -48.6  -82.6      1   0.00    315     13  402.1  402.1  402.1
  124.2  14935  -48.5  -82.5      1   0.00    295     11  407.6  407.7  407.6
  118.5  15240  -48.5  -82.5      1   0.00    305     11  413.2  413.3  413.2
  113.2  15545  -48.4  -82.3      1   0.00    285     11  418.9  418.9  418.9
  103.2  16154  -48.2  -82.2      1   0.00    280     17  430.5  430.5  430.5
  100.0  16360  -48.1  -82.1      1   0.00    315     13  434.5  434.5  434.5
   98.6  16453  -48.3  -82.3      1   0.00    315     13  435.9  435.9  435.9
   98.5  16459  -48.3  -82.3      1   0.00    315     13  436.0  436.0  436.0
   85.8  17374  -48.0  -82.0      1   0.01    325      2  454.2  454.2  454.2
   80.9  17759  -47.9  -81.9      1   0.01    300      5  462.0  462.1  462.0
   74.7  18288  -46.4  -81.2      1   0.01    265     10  475.8  475.9  475.8
   73.5  18396  -46.1  -81.1      1   0.01    286     10  478.7  478.7  478.7
   71.3  18593  -46.8  -81.8      1   0.01    325     11  481.2  481.2  481.2
   70.0  18720  -47.3  -82.3      1   0.01    310      9  482.8  482.9  482.8
   68.3  18882  -47.7  -82.7      1   0.01    304      9  485.4  485.4  485.4
   62.2  19507  -46.6  -81.6      1   0.01    280     10  501.1  501.2  501.1
