71957 YEV Inuvik Observations at 00Z 22 Dec 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1010.0    103   -4.9   -7.1     85   2.23    220      3  267.5  273.6  267.9
 1009.0    111   -4.5   -8.7     72   1.97    229      3  268.0  273.4  268.3
 1001.0    175   -2.1   -8.1     63   2.08    301      6  271.0  276.8  271.3
 1000.0    183   -2.1   -8.1     63   2.09    310      6  271.1  276.9  271.4
  984.7    305   -2.6   -8.7     63   2.03    300     10  271.7  277.4  272.0
  978.0    359   -2.9   -8.9     63   2.00    299     14  272.0  277.6  272.3
  949.0    598   -1.5  -11.5     46   1.68    295     29  275.7  280.6  276.0
  947.6    610   -1.6  -11.6     46   1.67    295     30  275.8  280.7  276.1
  925.0    802   -2.5  -13.5     43   1.47    305     18  276.8  281.1  277.0
  912.0    914   -2.8  -13.8     43   1.46    300     14  277.6  281.9  277.9
  905.0    975   -2.9  -13.9     42   1.45    303     14  278.1  282.4  278.3
  877.3   1219   -5.3  -13.8     51   1.51    315     13  278.1  282.5  278.3
  850.0   1467   -7.7  -13.7     62   1.57    345     13  278.1  282.7  278.3
  843.8   1524   -8.2  -13.9     64   1.55    345     13  278.1  282.7  278.4
  822.0   1727  -10.1  -14.7     69   1.50    335     14  278.2  282.6  278.4
  811.1   1829  -10.7  -14.9     71   1.49    330     14  278.6  283.0  278.8
  805.0   1887  -11.1  -15.0     73   1.49    327     18  278.8  283.2  279.1
  789.0   2042  -11.1  -17.1     61   1.28    320     27  280.4  284.3  280.6
  779.6   2134  -11.6  -17.6     61   1.23    315     33  280.8  284.5  281.0
  775.0   2179  -11.9  -17.9     61   1.21    315     33  281.0  284.7  281.2
  749.0   2438  -14.3  -18.3     72   1.22    315     33  281.2  284.9  281.4
  721.0   2727  -16.9  -18.7     86   1.22    315     28  281.4  285.1  281.6
  719.5   2743  -16.9  -18.8     85   1.21    315     28  281.5  285.2  281.7
  700.0   2949  -17.1  -19.9     79   1.13    310     31  283.5  287.0  283.7
  650.0   3503  -20.3  -21.7     89   1.04    318     42  286.0  289.2  286.1
  636.1   3658  -21.6  -23.1     88   0.94    320     45  286.3  289.3  286.5
  584.5   4267  -26.5  -28.5     84   0.63    315     43  287.5  289.6  287.6
  560.2   4572  -29.0  -31.2     82   0.51    315     47  288.1  289.8  288.2
  537.0   4877  -31.5  -33.9     80   0.41    320     46  288.6  290.0  288.7
  500.0   5390  -35.7  -38.4     76   0.28    315     51  289.4  290.4  289.5
  493.1   5486  -36.5  -39.2     76   0.26    315     51  289.6  290.5  289.7
  465.0   5887  -39.9  -42.7     74   0.19    322     59  290.3  291.0  290.3
  461.0   5946  -40.1  -43.2     72   0.18    323     60  290.8  291.4  290.8
  450.9   6096  -40.5  -43.3     74   0.19    325     63  292.1  292.8  292.2
  440.0   6262  -40.9  -43.4     77   0.19    325     66  293.6  294.3  293.7
  434.0   6355  -41.7  -44.6     73   0.17    325     67  293.8  294.4  293.8
  416.0   6639  -43.7  -44.8     89   0.17    325     72  294.8  295.4  294.8
  400.0   6900  -45.7  -47.4     83   0.13    325     76  295.5  296.0  295.5
  381.0   7224  -47.9  -51.3     68   0.09    333     85  296.8  297.1  296.8
  379.0   7259  -48.1  -50.3     78   0.10    334     86  296.9  297.3  297.0
  376.0   7312  -47.9  -52.8     57   0.08    335     88  297.9  298.2  297.9
  375.8   7315  -47.9  -52.8     57   0.08    335     88  297.9  298.2  297.9
  366.0   7490  -49.1  -51.4     77   0.09    332     92  298.6  298.9  298.6
  362.0   7562  -49.3  -55.3     49   0.06    331     94  299.2  299.5  299.3
  358.8   7620  -49.5  -55.5     49   0.06    330     95  299.7  299.9  299.7
  357.0   7654  -49.7  -55.7     49   0.06    329     95  299.9  300.1  299.9
  351.0   7765  -50.3  -55.3     55   0.06    327     97  300.6  300.8  300.6
  345.0   7877  -51.1  -56.6     52   0.05    325     98  301.0  301.2  301.0
  342.5   7925  -51.4  -57.1     50   0.05    325     98  301.1  301.3  301.1
  339.0   7992  -51.9  -57.9     48   0.05    325     97  301.4  301.6  301.4
  335.0   8069  -51.9  -63.9     22   0.02    326     95  302.4  302.5  302.4
  329.0   8187  -52.9  -62.9     29   0.02    327     93  302.6  302.7  302.6
  317.0   8426  -54.3  -68.3     16   0.01    328     87  303.9  303.9  303.9
  300.0   8780  -55.9  -69.9     16   0.01    330     80  306.4  306.5  306.4
  283.2   9144  -57.4  -71.4     15   0.01    330     72  309.4  309.4  309.4
  278.0   9262  -57.9  -71.9     15   0.01    325     68  310.3  310.3  310.3
  260.0   9682  -58.5  -75.5     10   0.01    321     65  315.4  315.4  315.4
  257.1   9754  -57.8  -75.7      8   0.01    320     64  317.5  317.5  317.5
  250.0   9930  -56.1  -76.1      6   0.00    310     61  322.5  322.6  322.5
  248.0   9981  -55.3  -77.3      5   0.00    308     61  324.5  324.5  324.5
  245.0  10058  -54.9  -78.0      4   0.00    305     62  326.1  326.2  326.1
  234.0  10352  -53.5  -80.5      2   0.00    319     48  332.6  332.6  332.6
  233.6  10363  -53.5  -80.4      2   0.00    320     48  332.7  332.7  332.7
  228.0  10519  -54.3  -79.3      3   0.00    320     50  333.9  333.9  333.9
  222.8  10668  -53.8  -79.7      3   0.00    320     52  336.9  336.9  336.9
  211.0  11016  -52.7  -80.7      2   0.00    320     59  343.9  343.9  343.9
  205.0  11201  -53.9  -80.9      2   0.00    320     62  344.8  344.8  344.8
  202.6  11278  -52.3  -80.9      2   0.00    320     64  348.6  348.6  348.6
  202.0  11296  -51.9  -80.9      2   0.00    320     62  349.4  349.4  349.4
  200.0  11360  -52.1  -81.1      2   0.00    320     56  350.1  350.1  350.1
  198.0  11425  -52.3  -81.3      2   0.00    320     52  350.8  350.8  350.8
  195.0  11525  -49.7  -80.7      1   0.00    320     45  356.5  356.5  356.5
  193.3  11582  -50.0  -81.2      1   0.00    320     41  357.0  357.0  357.0
  187.0  11799  -50.9  -82.9      1   0.00    306     46  358.8  358.8  358.8
  184.5  11887  -50.5  -82.9      1   0.00    300     48  360.8  360.8  360.8
  176.1  12192  -49.2  -82.8      1   0.00    310     45  367.8  367.8  367.8
  173.0  12309  -48.7  -82.7      1   0.00    306     47  370.5  370.5  370.5
  169.0  12464  -46.5  -81.5      1   0.00    301     50  376.7  376.7  376.7
  168.2  12497  -46.4  -81.4      1   0.00    300     51  377.3  377.3  377.3
  160.7  12802  -45.9  -80.8      1   0.00    290     43  383.3  383.3  383.3
  154.0  13084  -45.3  -80.3      1   0.00    309     39  388.9  388.9  388.9
  153.5  13106  -45.4  -80.3      1   0.00    310     39  389.1  389.2  389.1
  150.0  13260  -45.7  -80.7      1   0.00    310     41  391.1  391.1  391.1
  132.0  14109  -47.1  -82.1      1   0.00    313     36  403.1  403.2  403.1
  125.0  14473  -44.5  -80.5      1   0.00    314     34  414.2  414.2  414.2
  122.1  14630  -44.9  -80.7      1   0.00    315     33  416.3  416.3  416.3
  116.6  14935  -45.6  -81.2      1   0.00    280     34  420.4  420.4  420.4
  111.4  15240  -46.4  -81.6      1   0.00    285     47  424.5  424.5  424.5
  108.0  15447  -46.9  -81.9      1   0.00    299     47  427.3  427.4  427.3
  106.4  15545  -46.8  -81.8      1   0.00    305     47  429.3  429.4  429.3
  105.0  15634  -46.7  -81.7      1   0.00    304     49  431.1  431.2  431.2
  101.7  15850  -44.5  -80.1      1   0.01    300     53  439.5  439.5  439.5
  100.0  15960  -43.3  -79.3      1   0.01    300     53  443.8  443.8  443.8
   97.8  16110  -43.7  -79.7      1   0.01    298     50  445.8  445.9  445.8
   92.9  16459  -41.3  -78.0      1   0.01    295     44  457.2  457.2  457.2
   91.3  16575  -40.5  -77.5      1   0.01    292     47  461.0  461.1  461.0
   86.8  16919  -42.1  -78.1      1   0.01    284     55  464.5  464.6  464.5
   84.9  17069  -41.7  -77.7      1   0.01    280     59  468.2  468.3  468.2
   83.9  17149  -41.5  -77.5      1   0.01    281     58  470.2  470.3  470.2
   74.1  17983  -47.3  -82.3      1   0.01    290     54  475.1  475.1  475.1
   74.1  17982  -47.3  -82.3      1   0.01    290     53  475.0  475.1  475.0
   70.8  18288  -46.3  -81.3      1   0.01    280     35  483.4  483.5  483.4
   70.0  18360  -46.1  -81.1      1   0.01    275     36  485.4  485.4  485.4
